Title,Impact factor,Publisher,Categories
Frontiers in Sustainable Food Systems,-,Frontiers,Agronomy and Crop Science
Industrial Crops and Products,5.645,ElSevier,Agronomy and Crop Science
Journal of Biological Chemistry,5.157,American Society for Biochemistry and Molecular Biology,Biochemistry
Biochimica et Biophysica Acta,3.77,ElSevier ,Biochemistry & Biophysics
EFB Bioeconomy Journal,-,ElSevier,Bioeconomy
Cell Adhesion and Migration,3.694,Cell,Biologie
FASEB Journal,4.966, Federation of American Societies for Experimental Biology,Biology
Algal Research,4.401,ElSevier,Biotechnology
Applied Biochemistry and Biotechnology,2.926,Springer,Biotechnology
Biomass and Bioenergy,5.061,ElSevier,Biotechnology
Enzyme and Microbial Technology,3.493,ElSevier,Biotechnology
Fermentation,3.975,MDPI,Biotechnology
Journal of Bioscience and Bioengineering,2.984,ElSevier,Biotechnology
Journal of Chemical Technology and Biotechnology,3.174,Wiley-VCH Verlag,Biotechnology
Journal of Fungi,5.816,MDPI,Biotechnology
Journal of Microbiology,3.422,Springer,Biotechnology
Microbiology,5.079,Royal Society of Chemistry,Biotechnology
Cell Chemical Biology,7.739,Cell Press,Chemical Biology
Accounts of Chemical Research,21.661,American Chemical Society,Chemistry
ACS Catalysis,12.35,American Chemical Society,Chemistry
ACS Sustainable Chemistry and Engineering,8.198,American Chemical Society,Chemistry
ACS Symposium Series,0.329,American Chemical Society,Chemistry
Angewandte Chemie,15.336,Neville Compton,Chemistry
Angewandte Chemie - International Edition,15.336,Neville Compton,Chemistry
Beilstein Journal of Organic Chemistry,2.622,Beilstein,Chemistry
Biomacromolecules,6.988,American Chemical Society,Chemistry
Cellulose,5.044,Springer,Chemistry
Chemical Communications,6.222,Royal Society of Chemistry,Chemistry
Chemistry - A European Journal,5.236,Wiley-VCH Verlag,Chemistry
Chemistry Letters,1.55,CSJ journals,Chemistry
ChemistrySelect,2.109,Wiley-VCH Verlag,Chemistry
ChemMedChem,3.124,Wiley-VCH Verlag,Chemistry
Chemosphere,7.086,ElSvier,Chemistry
ChemPhotoChem,3.849,Wiley-VCH Verlag,Chemistry
Chemphyschem,3.102,Wiley-VCH Verlag,Chemistry
ChemSusChem,8.928,Wiley-VCH Verlag,Chemistry
Composites - Part A: Applied Science and Manufacturing,7.664,ElSevier,Chemistry
Construction and Building Materials,6.141,ElSevier,Chemistry
European Journal of Medicinal Chemistry,5.572,ElSevier ,Chemistry
European Journal of Organic Chemistry,3.021,Wiley-VCH Verlag,Chemistry
European Polymer Journal,4.598,ElSevier,Chemistry
Frontiers in Chemistry,5.221,Frontiers,Chemistry
Green Chemistry,10.182,Royal Society of Chemistry,Chemistry
Holzforschung,2.393,De Gruyter,Chemistry
International Journal of Molecular Sciences,5.923,MDPI,Chemistry
Israel Journal of Chemistry,3.333,Wiley-VCH Verlag,Chemistry
Journal of Agricultural and Food Chemistry,5.279,American Chemical Society,Chemistry
Journal of Chemical Education,1.758,American Chemical Society,Chemistry
Journal of Organic Chemistry,4.354,American Chemical Society,Chemistry
Journal of the American Chemical Society,15.419,American Chemical Society,Chemistry
Macromolecular Chemistry and Physics,2.527,Wiley-VCH Verlag,Chemistry
Molecules,4.411,MDPI,Chemistry
Organic and Biomolecular Chemistry,3.564,Royal Society of Chemistry,Chemistry
Organic Letters,6.091,American Chemical Society,Chemistry
Organic Process Research and Development,3.317,American Chemical Society,Chemistry
Physical Chemistry Chemical Physics,3.676,Royal Society of Chemistry,Chemistry
Polymer Chemistry,5.582,Royal Society of Chemistry,Chemistry
Reaction Chemistry and Engineering,4.239,Royal Society of Chemistry,Chemistry
RSC Advances,3.361,Royal Society of Chemistry,Chemistry
Synthesis,2.867,Thieme,Chemistry
Topics in Current Chemistry,9.06,Springer,Chemistry
Topics in Heterocyclic Chemistry,-,Springer,Chemistry
Journal of Computer-Aided Molecular Design,3.686,Springer,Computational Science
Academe,0.229,American Association of University Professors,Education
International Journal of Food Microbiology,3.451,ElSevier,Food microbiology
PLoS Genetics,5.109,PLOS,Genetics
Current Topics in Medicinal Chemistry,3.295,Bentham Science,Medicinal Chemistry
Future Medicinal Chemistry,3.969,Futur Science,Medicinal Chemistry
Pharmaceuticals,5.863,MDPI,Medicinal Chemistry
Pharmaceutics,6.321,MDPI,Medicinal Chemistry
Journal of Clinical Case Studies,-,SAGE journals ,Medicine
Medicinal research reviews,12.944,Wiley-VCH Verlag,Medicine
Applied and Environmental Microbiology,4.792,American Society for Microbiology,Microbiology
Applied Microbiology and Biotechnology,3.53,Springer,Microbiology
BMC Microbiology,3.605,Springer,Microbiology
FEMS Yeast Research,2.796,Oxford University Press,Microbiology
Frontiers in Microbiology,5.64,Frontiers,Microbiology
Journal of Bacteriology,3.219,Thomas J. Shlhavy,Microbiology
mBio,6.784,Arturo Casadevall,Microbiology
Microbial Cell Factory,5.328,Springer,Microbiology
Microbiology,2.18,Springer,Microbiology
Microorganisms,4.128,MDPI,Microbiology
Methods in Molecular Biology,-,Springer,Molecular biology
Molecular Microbiology,3.816,Wiley-VCH Verlag,Molecular biology
Antioxidants,6.312,MDPI,Multidisciplinary
Bioresource Technology,9.642,ElSevier,Multidisciplinary
Food and Bioproducts Processing,4.481,ElSevier,Multidisciplinary
iScience,5.458,ElSevier,Multidisciplinary
ISME Journal,10.302,Nature,Multidisciplinary
Journal of Water Process Engineering,5.485,ElSevier,Multidisciplinary
Nature Communications,14.919,Nature Publishing Group,Multidisciplinary
PLoS ONE,3.24,PLOS,Multidisciplinary
Scientific Reports,4.379,Nature Publishing Group,Multidisciplinary
Nutrients,5.717,MDPI,Nutrition
Carcinogenesis,5.334,Oxford University Press,Oncology
European Journal of Pharmaceutical Sciences,,ElSevier,Pharmacology
Frontiers in Pharmacology,4.4,Frontiers,Pharmacology
The Journal of Physical Chemistry Letters,6.475,American Chemical Society,Physics
Journal of Membrane Science,8.742,ElSevier,Process
Processes,2.847,MDPI,Process
Separation and Purification Technology,7.312,ElSevier,Process
Toxins,3.531,MDPI,Toxicology
Academia (Greece),,,
Academia Economic Papers,,,
Academia Revista Latinoamericana de Administracion,,,
Academic Emergency Medicine,,,
Academic Forensic Pathology,,,
Academic Journal of Interdisciplinary Studies,,,
Academic Journal of Manufacturing Engineering,,,
Academic Journal of Second Military Medical University,,,
Academic Medicine,,,
Academic Pathology,,,
Academic Pediatrics,,,
Academic Psychiatry,,,
Academic Quarter,,,
Academic Questions,,,
Academic Radiology,,,
Academica Turistica,,,
Academy of Accounting and Financial Studies Journal,,,
Academy of Entrepreneurship Journal,,,
Academy of Management Annals,,,
Academy of Management Journal,,,
Academy of Management Learning and Education,,,
Academy of Management Perspectives,,,
Academy of Management Review,,,
Academy of Strategic Management Journal,,,
Acadiensis,,,
Acarina,,,
Acarologia,,,
Accident Analysis and Prevention,,,
Accountability in Research,,,
Accounting,,,
Accounting and Business Research,,,
Accounting and Finance,,,
Accounting and the Public Interest,,,
Accounting Education,,,
Accounting Forum,,,
Accounting Historians Journal,,,
Accounting History,,,
Accounting History Review,,,
Accounting Horizons,,,
Accounting in Europe,,,
Accounting Perspectives,,,
Accounting Research Journal,,,
Accounting Review,,,
"Accounting	 Auditing and Accountability Journal",,,
"Accounting	 Economics and Law: A Convivium",,,
"Accounting	 Organizations and Society",,,
Accounts of Chemical Research,,,
Accreditation and Quality Assurance,,,
ACDI Anuario Colombiano de Derecho Internacional,,,
ACG Case Reports Journal,,,
ACI Materials Journal,,,
ACI Structural Journal,,,
ACM Communications in Computer Algebra,,,
ACM Computing Surveys,,,
ACM EC 2018 - Proceedings of the 2018 ACM Conference on Economics and Computation,,,
ACM EC 2019 - Proceedings of the 2019 ACM Conference on Economics and Computation,,,
ACM Inroads,,,
"ACM International Conference on Computing Frontiers 2017	 CF 2017",,,
"ACM International Conference on Computing Frontiers 2019	 CF 2019 - Proceedings",,,
ACM International Conference Proceeding Series,,,
ACM Journal on Emerging Technologies in Computing Systems,,,
ACM SIGBED Review,,,
"ACM SIGGRAPH 2017 Art Gallery	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 Courses	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 Educator's Forum	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 Emerging Technologies	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 Panels	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 Posters	 SIGGRAPH 2017","ACM SIGGRAPH 2017 Posters	 SIGGRAPH 2017",,
"ACM SIGGRAPH 2017 Studio	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 Talks	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2017 VR Village	 SIGGRAPH 2017",,,
"ACM SIGGRAPH 2018 Appy Hour	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Art Gallery	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Computer Animation Festival	 SIGGRAPH 2018",,,
"ACM SIGGRAPH 2018 Courses	 SIGGRAPH 2018",,,
