Rank	Title	SJR	Publisher	Categories
1	Ca-A Cancer Journal for Clinicians	62.937	Wiley-Blackwell	Hematology 
2	MMWR Recommendations and Reports	40.949	Centers for Disease Control and Prevention (CDC)	Epidemiology 
3	Nature Reviews Molecular Cell Biology	37.461	Nature Publishing Group	Cell Biology 
4	Quarterly Journal of Economics	34.573	Oxford University Press	Economics and Econometrics 
5	Nature Reviews Materials	32.011	Nature Publishing Group	Biomaterials 
6	"National vital statistics reports : from the Centers for Disease Control and Prevention	 National Center for Health Statistics	 National Vital Statistics System"	28.083	"Public Health Services	 US Dept of Health and Human Services"	Life-span and Life-course Studies 
7	Cell	26.304	Cell Press	"Biochemistry	 Genetics and Molecular Biology "
8	Nature Reviews Genetics	26.214	Nature Publishing Group	Genetics 
9	Reviews of Modern Physics	24.877	American Physical Society	Physics and Astronomy 
10	Journal of Political Economy	21.034	University of Chicago	Economics and Econometrics 
11	Nature Reviews Immunology	20.529	Nature Publishing Group	Immunology 
12	Chemical Reviews	20.528	American Chemical Society	Chemistry 
13	MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC	19.961	Centers for Disease Control and Prevention (CDC)	Epidemiology 
14	New England Journal of Medicine	19.889	Massachussetts Medical Society	Medicine 
15	Nature Energy	19.733	Springer Nature	"Electronic	 Optical and Magnetic Materials "
16	Nature Reviews Cancer	19.575	Nature Publishing Group	Cancer Research 
17	Nature Medicine	19.536	Nature Publishing Group	"Biochemistry	 Genetics and Molecular Biology "
18	Nature Methods	19.469	Nature Publishing Group	Biochemistry 
19	Nature Genetics	18.861	Nature Publishing Group	Genetics 
20	Academy of Management Annals	18.318	Academy of Management	Business and International Management 
21	Annual Review of Immunology	18.301	Annual Reviews Inc.	Immunology 
22	Journal of Finance	18.151	Wiley-Blackwell Publishing Ltd	Accounting 
23	American Economic Review	16.936	American Economic Association	Economics and Econometrics 
24	Annual Review of Biochemistry	16.921	Annual Reviews Inc.	Biochemistry 
25	Econometrica	16.7	Wiley-Blackwell Publishing Ltd	Economics and Econometrics 
26	Nature Reviews Chemistry	16.465	Nature Publishing Group	Chemical Engineering 
27	Nature	15.993	Nature Publishing Group	Multidisciplinary 
28	Review of Economic Studies	15.641	Oxford University Press	Economics and Econometrics 
